id_venta,fecha,sucursal,vendedor,categoria,producto,cantidad,precio_unitario,descuento_pct,metodo_pago,tipo_cliente,edad_cliente,satisfaccion,tiempo_atencion_min,devolucion
V204,2026-02-08,Arequipa,V005,Tablets,Tablet Samsung,1,1314.34,10,Efectivo,Frecuente,44,3,44,No
V205,2026-01-27,Lima,V002,Laptops,Laptop Acer,1,2659.8,15,Yape,Frecuente,59,3,10,No
V206,2026-07-08,Trujillo,V011,Laptops,Laptop Dell,1,3202.8,5,Plin,Nuevo,68,4,20,No
V207,2026-05-12,Lima,V001,Accesorios,Audifonos JBL,4,144.48,15,Yape,Frecuente,48,1,9,Si
V208,2026-03-13,Arequipa,V005,Laptops,Laptop Asus,1,2951.95,15,Plin,Frecuente,52,3,39,No
V209,2026-03-25,Lima,V002,Monitores,Monitor AOC,1,613.23,0,Yape,Frecuente,33,3,8,No
V210,2026-02-03,Cusco,V014,Tablets,Tablet Samsung,2,1275.21,0,Tarjeta,Nuevo,18,4,15,No
V211,2026-05-17,Trujillo,V009,Accesorios,Teclado Redragon,4,184.5,0,Tarjeta,Nuevo,51,3,9,No
V212,2026-06-14,Lima,V004,Smartphones,Smartphone Motorola,1,986.01,0,Yape,Nuevo,54,3,12,No
V213,2026-01-16,Lima,V002,Laptops,Laptop Asus,2,2909.87,0,Tarjeta,Frecuente,65,1,31,Si
V214,2026-08-27,Trujillo,V010,Laptops,Laptop Acer,1,2566.93,0,Efectivo,Nuevo,20,2,30,No
V215,2026-03-18,Trujillo,V010,Laptops,Laptop Acer,1,2588.75,5,Transferencia,Frecuente,33,2,34,No
V216,2026-07-21,Arequipa,V006,Monitores,Monitor Samsung,1,813.73,10,Tarjeta,VIP,,5,29,No
V217,2026-01-31,Arequipa,V006,Smartphones,Smartphone Xiaomi,3,1255.34,0,Yape,Nuevo,51,3,31,No
V218,2026-07-15,Lima,V001,Tablets,Tablet Samsung,1,1317.84,0,Plin,Frecuente,36,5,21,No
V219,2026-04-15,Trujillo,V010,Smartphones,Smartphone Xiaomi,2,1168.03,0,Transferencia,Nuevo,46,2,34,Si
V220,2026-04-06,Arequipa,V008,Accesorios,Webcam Logitech,1,214.83,0,Yape,Frecuente,20,5,18,No
V221,2026-01-28,Arequipa,V007,Smartphones,Smartphone Motorola,1,954.9,0,Tarjeta,VIP,53,1,40,No
V222,2026-07-29,Arequipa,V005,Laptops,Laptop Lenovo,3,2892.5,0,Efectivo,Frecuente,58,4,10,No
V223,2026-08-01,Lima,V001,Laptops,Laptop HP,1,3224.77,0,Tarjeta,VIP,39,2,12,No
V224,2026-02-17,Cusco,V014,Smartphones,Smartphone Xiaomi,1,1143.54,0,Yape,Nuevo,35,4,33,Si
V225,2026-06-12,Arequipa,V007,Smartphones,Smartphone Xiaomi,1,1245.93,0,Yape,Nuevo,59,1,38,No
V226,2026-05-24,Lima,V004,Accesorios,Webcam Logitech,2,220.98,10,Plin,Nuevo,,1,43,No
V227,2026-07-23,Trujillo,V009,Smartphones,Smartphone Motorola,1,985.74,5,Efectivo,Nuevo,35,4,39,No
V228,2026-01-19,Arequipa,V008,Accesorios,Mochila para laptop,1,125.9,5,Transferencia,Nuevo,40,1,42,No
