periodo,tienda_id,ciudad,canal_principal,ventas_mensuales,clientes,pedidos,visitas_web,inversion_marketing,descuento_promedio,ticket_promedio,satisfaccion,reclamos,tiempo_entrega_dias,costo_logistico,tasa_conversion
2024-06-01,T04,Arequipa,Mixto,133863.59,1705,1400,34057,45329.87,10.77,89.04,4.64,7,2.7,12355.11,4.34
2024-07-01,T04,Arequipa,Mixto,123874.76,1556,1323,34878,47438.46,9.14,90.75,4.71,4,2.19,14631.5,3.9
2024-08-01,T04,Arequipa,Mixto,129580.14,1593,1298,29707,41673.25,9.1,88.45,4.21,15,2.9,14111.66,4.22
2024-09-01,T04,Arequipa,Mixto,107401.67,1399,1105,32107,40647.75,10.9,84.04,4.85,6,2.79,11698.83,3.21
2024-10-01,T04,Arequipa,Mixto,124481.81,1333,1088,27123,35772.34,8.43,89.69,4.23,10,3.34,18359.79,4.06
2024-11-01,T04,Arequipa,Mixto,104504.46,1493,1209,30849,40410.99,12.17,82.32,4.18,13,3.9,13337.82,4.35
2024-12-01,T04,Arequipa,Mixto,159466.27,1777,1331,35637,48118.72,12.64,95.96,4.72,3,2.22,20709.89,3.81
2025-01-01,T04,Arequipa,Mixto,129898.95,1661,1316,32346,42318.01,4.68,96.16,4.38,8,2.88,13445.93,4.31
2025-02-01,T04,Arequipa,Mixto,138350.64,1588,1335,35778,45519.26,12.48,94.7,4.66,8,3.37,16293.57,3.4
2025-03-01,T04,Arequipa,Mixto,103795.34,1559,1180,37497,48751.08,8.24,84.09,4.69,6,3.56,11755.31,3.49
2025-04-01,T04,Arequipa,Mixto,124517.73,1802,1360,34965,45926.13,8.34,88.74,4.42,13,3.1,12723.06,3.82
2025-05-01,T04,Arequipa,Mixto,109429.91,1538,1198,29950,39796.92,12.61,86.55,4.25,13,3.86,12177.94,4.52
2025-06-01,T04,Arequipa,Mixto,110881.03,1307,997,29169,37519.35,7.92,96.66,4.52,9,3.48,15436.33,3.5
2025-07-01,T04,Arequipa,Mixto,118619.13,1816,1442,33592,44429.41,8.03,80.35,3.77,26,3.91,7746.16,4.0
2025-08-01,T04,Arequipa,Mixto,143026.49,1862,1588,29149,37907.21,3.66,92.41,4.42,9,2.9,9011.68,5.22
2025-09-01,T04,Arequipa,Mixto,100239.4,1522,1230,29170,39570.84,10.77,87.33,4.23,13,3.57,12442.37,4.4
2025-10-01,T04,Arequipa,Mixto,107066.72,1666,1382,29347,38070.64,14.49,79.7,4.8,8,3.51,8039.56,4.31
2025-11-01,T04,Arequipa,Mixto,132833.08,1510,1186,28577,37539.42,6.54,105.4,4.57,8,2.73,11880.72,4.09
2025-12-01,T04,Arequipa,Mixto,104081.49,1389,1007,32677,46082.89,15.71,85.95,4.8,4,1.86,13223.86,2.81
2024-01-01,T05,Trujillo,Mixto,137420.55,2041,1575,25259,29978.64,5.86,83.87,4.27,13,3.61,11760.85,6.24
2024-02-01,T05,Trujillo,Mixto,181421.34,2122,1777,26970,31542.82,7.51,99.01,5.0,3,2.75,11650.56,6.54
2024-03-01,T05,Trujillo,Mixto,175689.32,2176,1818,21329,25763.0,7.24,94.73,4.29,16,3.47,16203.88,8.82
2024-04-01,T05,Trujillo,Mixto,168798.04,2229,1732,25614,31443.92,10.85,91.72,4.35,14,3.24,22206.42,6.65
2024-05-01,T05,Trujillo,Mixto,137129.26,1999,1581,25307,31946.79,8.39,96.21,4.23,10,4.19,17641.69,6.27
2024-06-01,T05,Trujillo,Mixto,111540.44,1820,1436,26971,30518.53,7.77,87.62,4.36,12,3.75,15249.82,4.85
2024-07-01,T05,Trujillo,Mixto,104714.55,1874,1417,23754,28449.63,14.11,86.62,5.0,1,2.15,15031.61,5.13
2024-08-01,T05,Trujillo,Mixto,121176.54,1631,1341,21295,25774.83,14.14,84.98,4.52,5,3.52,17185.64,6.07
2024-09-01,T05,Trujillo,Mixto,126075.47,1728,1264,21162,24056.56,4.55,91.48,4.35,8,3.83,9884.37,6.23
2024-10-01,T05,Trujillo,Mixto,141679.81,1794,1538,22835,26336.11,8.4,86.93,4.9,6,3.66,13104.78,6.43
2024-11-01,T05,Trujillo,Mixto,123685.14,1872,1431,27588,33242.48,10.57,80.72,4.47,12,3.24,14707.27,5.08
2024-12-01,T05,Trujillo,Mixto,140737.58,2086,1632,24570,30358.52,14.41,81.46,3.96,18,3.8,19598.97,7.01
2025-01-01,T05,Trujillo,Mixto,138418.04,1719,1412,25872,31372.69,10.02,93.63,4.83,4,2.42,19065.52,5.82
2025-02-01,T05,Trujillo,Mixto,133902.76,1872,1468,17046,20542.52,5.96,94.75,4.73,4,3.35,19233.21,8.45
2025-03-01,T05,Trujillo,Mixto,157616.0,1815,1555,26631,32232.11,5.05,100.16,4.65,6,3.2,14384.42,5.66
2025-04-01,T05,Trujillo,Mixto,148012.19,2167,1754,26822,33355.15,15.24,75.14,4.3,15,3.58,12487.9,7.21
2025-05-01,T05,Trujillo,Mixto,154745.0,2259,1786,27002,33938.59,12.92,88.51,4.62,8,3.18,19061.97,6.81
2025-06-01,T05,Trujillo,Mixto,112397.09,1994,1515,25134,32102.7,8.77,88.76,4.89,1,2.4,15478.98,5.83
2025-07-01,T05,Trujillo,Mixto,131912.47,1871,1572,25584,31720.05,16.25,84.39,4.9,4,3.46,15732.48,6.11
2025-08-01,T05,Trujillo,Mixto,151032.03,2027,1594,24293,25622.12,10.0,96.11,4.83,3,3.35,17211.8,6.86
2025-09-01,T05,Trujillo,Mixto,84976.83,1558,1142,20648,25979.8,12.15,88.96,4.89,3,2.33,8474.8,6.16
2025-10-01,T05,Trujillo,Mixto,125859.15,1618,1389,19337,20808.96,9.92,93.32,4.4,12,3.61,8687.71,7.28
2025-11-01,T05,Trujillo,Mixto,117409.17,1663,1312,21758,26422.95,5.91,94.4,4.65,7,2.71,8057.99,5.86
2025-12-01,T05,Trujillo,Mixto,188263.75,2343,1872,24580,29982.53,11.88,97.55,3.97,20,3.57,21006.76,7.89
2024-01-01,T06,Lima,Mixto,141813.34,2419,1924,12034,10522.11,3.58,85.43,4.39,10,3.42,14156.82,15.86
2024-02-01,T06,Lima,Mixto,225153.4,3086,2427,17443,21212.11,9.87,95.81,4.71,10,3.04,18729.51,14.14
2024-03-01,T06,Lima,Mixto,226233.89,2778,2293,14120,12979.28,8.71,98.47,4.6,3,3.16,19446.88,16.41
2024-04-01,T06,Lima,Mixto,196842.92,2786,2154,18074,19871.03,7.24,86.66,4.53,8,2.5,18704.92,11.8
2024-05-01,T06,Lima,Mixto,194254.07,2854,2180,17088,18826.55,9.45,94.26,4.62,5,2.35,18123.6,12.86
2024-06-01,T06,Lima,Mixto,191898.17,2653,2014,17311,17718.3,9.97,94.42,4.07,18,3.27,16769.59,11.6
2024-07-01,T06,Lima,Mixto,181605.43,2550,2076,13390,13080.2,8.05,89.49,4.54,7,2.45,19398.05,15.6
2024-08-01,T06,Lima,Mixto,214504.29,2842,2176,16734,16831.82,5.02,91.57,4.74,7,3.32,21982.59,12.94
2024-09-01,T06,Lima,Mixto,197597.1,2529,1981,15033,14221.04,10.49,106.43,4.57,7,2.74,16769.01,13.35
2024-10-01,T06,Lima,Mixto,196154.08,2577,2112,15996,15371.58,13.45,86.91,4.02,16,3.32,16739.75,13.25
2024-11-01,T06,Lima,Mixto,176041.13,2540,2077,14041,15394.68,8.43,81.36,4.52,3,3.24,20054.44,14.34
2024-12-01,T06,Lima,Mixto,223701.07,3074,2505,18200,19283.89,15.56,89.39,4.77,4,2.32,16038.91,13.88
2025-01-01,T06,Lima,Mixto,206967.59,2791,2213,15720,11282.59,14.04,95.06,4.93,3,2.09,19891.04,14.17
2025-02-01,T06,Lima,Mixto,217970.47,2836,2136,16111,15523.92,4.48,99.13,4.58,5,2.95,20403.75,12.81
2025-03-01,T06,Lima,Mixto,216987.89,2858,2338,15078,15097.48,9.69,88.3,4.48,7,3.05,15856.33,15.09
2025-04-01,T06,Lima,Mixto,177962.97,2804,2242,16356,16903.39,9.57,80.05,3.88,23,4.01,10281.49,13.78
2025-05-01,T06,Lima,Mixto,235569.4,2965,2359,22584,24468.1,2.63,98.57,4.64,4,2.61,23210.23,10.27
2025-06-01,T06,Lima,Mixto,215083.3,2946,2240,17394,16068.74,14.38,94.23,4.88,1,1.93,18663.81,12.9
2025-07-01,T06,Lima,Mixto,185517.73,2941,2321,17568,18387.19,14.56,79.29,4.92,1,1.91,18230.47,13.1
2025-08-01,T06,Lima,Mixto,191678.87,2721,2065,19881,20795.96,9.88,87.22,4.77,2,2.27,16449.15,10.19
2025-09-01,T06,Lima,Mixto,167830.37,2645,2130,16460,13639.16,9.2,80.68,4.04,17,3.95,13773.01,12.63
2025-10-01,T06,Lima,Mixto,166007.19,2274,1851,14416,14760.89,9.2,79.97,4.05,21,4.25,18527.01,12.44
2025-11-01,T06,Lima,Mixto,197624.53,2336,1941,17007,16123.34,6.25,94.62,4.22,15,2.75,13865.66,11.5
2025-12-01,T06,Lima,Mixto,197441.22,2874,2270,20501,22362.47,11.09,85.94,4.42,7,2.53,17739.91,11.06
2024-01-01,T07,Cusco,Mixto,110914.59,1378,1062,30284,39157.85,9.0,91.15,4.8,0,2.74,5000.0,3.59
2024-02-01,T07,Cusco,Mixto,101101.44,1506,1159,31172,39606.33,8.27,76.4,4.21,17,4.31,13942.85,3.46
2024-03-01,T07,Cusco,Mixto,128049.21,1682,1430,31892,43166.7,9.16,82.89,4.5,10,3.68,14037.57,4.55
2024-04-01,T07,Cusco,Mixto,100255.02,1764,1335,30669,40688.34,4.81,84.69,4.48,9,3.81,7392.51,4.24
2024-05-01,T07,Cusco,Mixto,119083.5,1457,1166,32376,43126.96,7.06,89.09,4.26,14,4.17,8329.95,3.8
2024-06-01,T07,Cusco,Mixto,124335.33,1657,1376,28705,36158.35,10.9,85.07,4.23,16,3.89,11555.74,4.61
2024-07-01,T07,Cusco,Mixto,105297.22,1325,928,29530,36939.39,7.45,93.99,4.21,14,4.79,12708.76,2.54
2024-08-01,T07,Cusco,Mixto,65410.05,1188,952,27055,36708.46,6.81,84.0,4.4,10,4.1,6310.47,3.05
2024-09-01,T07,Cusco,Mixto,78252.89,1235,905,27588,35923.11,8.64,92.48,4.2,15,4.39,10191.92,3.14
2024-10-01,T07,Cusco,Mixto,103978.62,1166,954,28326,35361.27,0.47,93.98,5.0,2,2.2,5543.76,3.04
2024-11-01,T07,Cusco,Mixto,97747.64,1032,889,29165,37759.55,6.15,96.65,4.44,6,3.14,9271.22,2.79
2024-12-01,T07,Cusco,Mixto,107426.03,1432,1235,34905,46787.69,9.76,81.18,4.41,7,3.16,5000.0,3.43
2025-01-01,T07,Cusco,Mixto,68637.9,1239,920,24824,31972.86,9.69,76.16,3.9,24,4.9,5531.88,3.98
2025-02-01,T07,Cusco,Mixto,100462.43,1399,1067,28268,35780.47,8.34,85.3,4.39,11,3.45,10800.11,3.65
2025-03-01,T07,Cusco,Mixto,94890.1,1522,1182,33068,43559.49,11.16,73.57,3.68,34,4.73,13090.32,3.63
2025-04-01,T07,Cusco,Mixto,96154.67,1537,1198,29803,39722.76,6.85,85.99,4.41,11,3.64,12746.89,4.09
2025-05-01,T07,Cusco,Mixto,103628.51,1576,1270,33618,44099.1,15.2,81.52,4.22,15,3.75,12457.85,3.36
2025-06-01,T07,Cusco,Mixto,103924.21,1502,1114,33937,43221.67,13.98,87.86,3.92,25,4.14,12397.19,3.28
2025-07-01,T07,Cusco,Mixto,94671.5,1589,1286,29953,38648.4,11.8,79.72,4.5,9,3.37,5000.0,4.36
2025-08-01,T07,Cusco,Mixto,113492.4,1520,1169,27897,34325.03,11.06,85.13,4.41,8,3.58,13394.41,4.47
2025-09-01,T07,Cusco,Mixto,103734.17,1596,1211,27283,36585.57,10.39,89.92,4.65,8,3.25,7001.48,4.79
2025-10-01,T07,Cusco,Mixto,117707.62,1415,1156,32161,43111.6,5.94,83.42,4.56,7,2.8,13605.22,3.5
2025-11-01,T07,Cusco,Mixto,92267.03,1427,1125,27489,33920.26,5.06,79.71,4.28,13,3.69,6017.9,4.08
2025-12-01,T07,Cusco,Mixto,99264.58,1271,945,32837,42820.47,12.44,91.4,3.99,20,4.01,9703.62,2.69
2024-01-01,T08,Lima,Online,173140.74,2265,1831,36651,43290.02,11.2,93.67,4.57,3,3.15,22875.08,5.07
2024-02-01,T08,Lima,Online,166956.14,2170,1765,33177,38396.3,6.07,88.96,5.0,4,2.42,18214.27,5.59
2024-03-01,T08,Lima,Online,190345.08,2493,1953,38360,46047.83,11.16,92.49,4.74,3,2.76,19023.39,5.08
2024-04-01,T08,Lima,Online,191764.0,2780,2162,39143,46590.48,15.55,82.93,4.52,6,3.29,18001.02,5.6
2024-05-01,T08,Lima,Online,180699.21,2488,2048,39486,48120.55,10.1,86.61,5.0,1,2.52,21051.31,5.08
2024-06-01,T08,Lima,Online,175947.64,2327,1886,36311,44290.21,10.68,92.49,4.99,4,2.11,14496.84,5.04
2024-07-01,T08,Lima,Online,186252.44,2564,2067,36486,42115.79,7.21,88.52,5.0,3,3.39,15022.76,5.57
2024-08-01,T08,Lima,Online,184796.4,2121,1679,32320,35810.22,7.95,104.11,4.74,1,2.98,14910.91,4.67
2024-09-01,T08,Lima,Online,143779.8,2011,1558,35316,38229.09,6.39,86.55,4.75,5,3.0,8244.26,4.36
2024-10-01,T08,Lima,Online,149514.84,1967,1501,32399,37658.73,10.69,96.12,4.78,3,2.6,16549.77,4.82
2024-11-01,T08,Lima,Online,162034.23,2133,1749,33738,36784.18,9.04,88.46,4.18,13,3.68,11590.46,5.21
2024-12-01,T08,Lima,Online,204307.81,2498,1922,36406,44767.35,13.62,100.4,4.71,6,2.83,16313.56,4.89
2025-01-01,T08,Lima,Online,160521.76,2133,1617,38653,46858.05,8.15,97.92,4.56,4,2.65,19336.27,4.33
2025-02-01,T08,Lima,Online,135169.06,2075,1591,35544,41896.99,8.76,93.01,4.27,14,3.34,10031.31,4.58
2025-03-01,T08,Lima,Online,212389.81,2584,2077,36043,46201.77,8.45,94.61,4.92,4,2.27,19726.14,5.21
2025-04-01,T08,Lima,Online,193670.66,2491,1897,37978,44514.76,0.42,88.27,4.56,6,3.2,12405.63,5.37
2025-05-01,T08,Lima,Online,184694.64,2580,2056,38415,45455.12,15.38,92.21,4.79,6,2.9,22357.49,5.71
2025-06-01,T08,Lima,Online,180994.42,2493,2030,38681,42517.51,8.14,88.48,4.78,0,2.29,16140.55,5.36
2025-07-01,T08,Lima,Online,213867.52,2673,2113,38099,43558.13,12.78,96.6,4.83,5,2.84,22236.51,5.46
2025-08-01,T08,Lima,Online,159806.15,2458,1924,35576,40999.29,9.03,76.13,4.69,2,3.39,21562.4,5.46
2025-09-01,T08,Lima,Online,167625.71,1925,1420,35489,41372.58,9.24,106.67,4.63,8,2.68,19649.0,4.45
2025-10-01,T08,Lima,Online,148848.85,1685,1319,33261,37005.47,7.06,101.63,4.89,4,2.17,16871.97,3.95
2025-11-01,T08,Lima,Online,128602.41,1857,1325,33767,38805.8,13.4,97.63,4.9,3,2.88,14982.3,4.68
2025-12-01,T08,Lima,Online,208877.85,2725,2128,41151,51962.41,11.33,86.73,4.34,10,3.13,12141.97,5.32
2024-01-01,T09,Cusco,Tienda,110951.24,1575,1238,18792,26764.13,7.55,92.15,3.83,22,4.23,14866.37,6.93
2024-02-01,T09,Cusco,Tienda,99926.01,1374,1132,19543,30307.07,5.75,87.58,4.06,17,3.97,13435.71,5.66
2024-03-01,T09,Cusco,Tienda,104202.32,1802,1378,23157,34649.17,8.01,77.0,4.71,3,2.89,16629.41,5.44
2024-04-01,T09,Cusco,Tienda,130296.53,1870,1565,18735,27288.78,2.48,83.34,4.56,11,3.45,12273.04,8.39
2024-05-01,T09,Cusco,Tienda,129370.68,2081,1606,24395,35140.69,11.88,78.06,3.62,32,4.8,11171.6,6.29
2024-06-01,T09,Cusco,Tienda,157067.77,1828,1436,22047,31335.58,11.07,91.14,3.99,19,4.11,15001.3,6.74
2024-07-01,T09,Cusco,Tienda,117371.95,1664,1288,24084,33942.21,12.25,92.99,4.4,6,3.34,5862.28,4.97
2024-08-01,T09,Cusco,Tienda,98663.81,1446,1065,16207,23348.81,12.7,90.6,4.38,9,3.37,9387.98,6.67
2024-09-01,T09,Cusco,Tienda,100908.94,1335,1057,17951,28358.78,8.22,100.8,4.41,11,3.92,11306.28,5.86
2024-10-01,T09,Cusco,Tienda,109887.87,1444,1196,19767,25735.07,7.04,95.55,4.47,11,3.8,19906.41,6.01
2024-11-01,T09,Cusco,Tienda,116342.55,1300,1107,15017,19473.3,10.36,95.88,4.46,13,3.94,14088.76,7.65
2024-12-01,T09,Cusco,Tienda,142728.88,1697,1452,22434,31788.32,10.36,87.47,4.16,17,4.24,9401.05,6.41
2025-01-01,T09,Cusco,Tienda,109110.52,1615,1159,25894,34704.34,7.96,95.52,4.15,18,4.18,14222.82,4.55
2025-02-01,T09,Cusco,Tienda,132921.7,1648,1370,20798,30916.7,10.77,92.42,4.77,4,2.91,16463.91,6.57
2025-03-01,T09,Cusco,Tienda,106370.86,1666,1447,19336,29953.8,8.7,84.77,3.87,24,4.07,10688.17,6.86
2025-04-01,T09,Cusco,Tienda,150691.96,1992,1670,24401,34587.72,13.71,93.45,4.56,8,3.83,17395.78,6.3
2025-05-01,T09,Cusco,Tienda,134654.95,2084,1688,24568,33014.51,10.07,83.07,4.25,16,3.9,19262.51,6.57
