cliente_id,zona_id,plan_mbps,estado,fecha_alta
C000120,Z001,300,Activo,2025-12-22
C000121,Z001,300,ACTIVO,2026-01-13
C000122,Z001,200, activo ,2025-04-27
C000123,Z001,200,ACTIVO,2025-09-09
C000124,Z001,200,ACTIVO,2025-07-29
C000125,Z001,200,ACTIVO,2025-06-27
C000126,Z001,200,ACTIVO,2024-07-28
C000127,Z001,200,ACTIVO,2024-06-13
C000128,Z001,200, activo ,2025-09-09
C000129,Z001,500,ACTIVO,2025-11-24
C000130,Z001,200, activo ,2024-10-22
C000131,Z001,300, activo ,2025-05-12
C000132,Z001,300,ACTIVO,2025-04-24
C000133,Z001,300,ACTIVO,2025-06-21
C000134,Z001,500,ACTIVO,2025-09-17
C000135,Z001,300,ACTIVO,2025-07-13
C000136,Z001,100, activo ,2025-10-15
C000137,Z001,100,SUSPENDIDO,2024-06-01
C000138,Z001,300, activo ,2025-12-21
C000139,Z001,500, activo ,2024-03-22
C000140,Z001,300,ACTIVO,2024-08-16
C000141,Z001,300,ACTIVO,2024-04-26
C000142,Z001,300,ACTIVO,2025-05-23
C000143,Z001,200,Activo,2026-04-08
C000144,Z001,200,ACTIVO,2025-12-20
C000145,Z001,500,ACTIVO,2025-12-08
C000146,Z001,100,Activo,2024-04-15
C000147,Z001,200,Activo,2024-07-06
C000148,Z001,200, activo ,2025-08-27
C000149,Z001,300,ACTIVO,2025-12-16
C000150,Z001,200,ACTIVO,2024-11-23
C000151,Z001,100, activo ,2025-05-14
C000152,Z001,200,Activo,2025-01-29
C000153,Z001,300, activo ,2024-11-20
C000154,Z001,200,ACTIVO,2025-12-03
C000155,Z001,600,Activo,2026-01-31
C000156,Z001,100, activo ,2026-05-06
C000157,Z001,300,ACTIVO,2025-03-06
C000158,Z001,300,ACTIVO,2025-06-13
C000159,Z001,200, activo ,2025-01-23
C000160,Z001,200,ACTIVO,2024-09-22
C000161,Z001,200, activo ,2025-10-26
C000162,Z001,100,SUSPENDIDO,2025-12-04
C000163,Z001,500,ACTIVO,2025-12-01
C000164,Z001,100,SUSPENDIDO,2026-01-23
C000165,Z001,300,Activo,2025-07-14
C000166,Z001,500,ACTIVO,2024-03-22
C000167,Z001,200,ACTIVO,2026-02-07
C000168,Z001,100, activo ,2025-11-30
C000169,Z001,300,ACTIVO,2024-01-05
C000170,Z001,100,Activo,2024-01-05
C000171,Z001,500,ACTIVO,2024-09-16
C000172,Z001,100, activo ,2026-02-03
C000173,Z001 ,500,Activo,2026-01-31
C000174,Z001,500,ACTIVO,2025-09-20
C000175,Z001,100,ACTIVO,2025-09-19
C000176,Z001,300,Activo,2025-03-30
C000177,Z001,500,ACTIVO,2026-01-01
C000178,Z001,100,ACTIVO,2025-10-23
C000179,Z001,300,SUSPENDIDO,2025-11-05
C000180,Z001,100,Activo,2025-07-04
C000181,Z001,100, activo ,2025-02-17
C000182,Z001,100,ACTIVO,2025-09-30
C000183,Z001,100,SUSPENDIDO,2025-06-16
C000184,Z001,300,Activo,2025-02-16
C000185,Z001,300,ACTIVO,2024-08-11
C000186,Z001,200,ACTIVO,2026-05-01
C000187,Z001,300,Activo,2025-02-02
C000188,Z001,100,ACTIVO,2026-04-26
C000189,Z001,200,ACTIVO,2024-04-26
C000190,Z001,100,ACTIVO,2024-04-17
C000191,Z001,200,ACTIVO,2025-12-08
C000192,Z001,300,ACTIVO,2025-07-03
C000193,Z001,200,ACTIVO,2026-05-04
C000194,Z001,200,ACTIVO,2025-06-13
C000195,Z001,200,ACTIVO,2024-05-13
C000196,Z001,300,ACTIVO,2024-07-22
C000197,Z001,300,Activo,2025-06-12
C000198,Z001,200, activo ,2025-08-10
C000199,Z001,300,ACTIVO,2025-04-21
C000200,Z001,200,ACTIVO,2025-07-17
C000201,Z001,300, activo ,2024-04-25
C000202,Z001,200,ACTIVO,2026-04-08
C000203,Z001,500,ACTIVO,2025-04-12
C000204,Z001,200,ACTIVO,2026-01-23
C000205,Z001 ,100, activo ,2026-01-09
C000206,Z001,200,ACTIVO,2024-02-20
C000207,Z001,100,ACTIVO,2024-02-29
C000208,Z001,100, activo ,2025-10-30
C000209,Z001,500,ACTIVO,2025-09-30
C000210,Z001,300,ACTIVO,2024-05-18
C000211,Z001,200,SUSPENDIDO,2024-03-09
C000212,Z001,300,ACTIVO,2026-06-14
C000213,Z001,300,Activo,2025-11-08
C000214,Z001,300,ACTIVO,2024-12-15
C000215,Z001,100,ACTIVO,2025-02-24
C000216,Z001,100, activo ,2024-05-27
C000217,Z001,600,ACTIVO,2024-06-29
C000218,Z001,600,ACTIVO,2026-01-25
C000219,Z001,200,ACTIVO,2024-10-22
C000220,Z001,300,ACTIVO,2024-03-13
C000221,Z001,200,ACTIVO,2024-10-02
C000222,Z001,500,ACTIVO,2024-06-11
C000223,Z001,100,ACTIVO,2024-06-23
C000224,Z001,300,ACTIVO,2025-03-17
C000225,Z001,100,ACTIVO,2026-01-26
C000226,Z001,300,Activo,2026-01-29
C000227,Z001,300,Activo,2025-07-06
C000228,Z001,200,ACTIVO,2024-02-22
C000229,Z001,200, activo ,2024-10-24
C000230,Z001,300, activo ,2025-03-10
C000231,Z001,200, activo ,2024-10-01
C000232,Z001,500,ACTIVO,2025-06-12
C000233,Z001,200,ACTIVO,2025-04-10
C000234,Z001,200, activo ,2024-04-04
C000235,Z001,300,ACTIVO,2024-01-08
C000236,Z001,100,ACTIVO,2024-10-31
C000237,Z001,500,ACTIVO,2025-01-13
C000238,Z001,300,ACTIVO,2024-10-03
C000239,Z001,200,Activo,2025-04-18
C000240,Z001,600,Activo,2025-07-24
C000241,Z001,200,Activo,2025-08-08
C000242,Z001,300,SUSPENDIDO,2026-03-23
C000243,Z001,300, activo ,2024-03-07
C000244,Z001,300,ACTIVO,2024-04-12
C000245,Z001,300,Activo,2025-01-10
C000246,Z001,600,ACTIVO,2026-05-22
C000247,Z001,300,Activo,2025-07-27
C000248,Z001,100,ACTIVO,2024-11-07
C000249,Z001,300,ACTIVO,2026-02-26
C000250,Z001,200,SUSPENDIDO,2026-06-05
C000251,Z001,200, activo ,2025-08-07
C000252,Z001,300, activo ,2024-03-17
C000253,Z001,500, activo ,2024-08-02
C000254,Z001,200,ACTIVO,2024-02-03
C000255,Z001,100,Activo,2025-11-17
C000256,Z001,300, activo ,2025-10-03
C000257,Z001,300, activo ,2024-12-09
C000258,Z001,100,Activo,2024-02-14
C000259,Z001,500,ACTIVO,2026-05-06
C000260,Z001,300,ACTIVO,2025-04-08
C000261,Z001,200, activo ,2025-07-03
C000262,Z001,100, activo ,2025-08-27
C000263,Z001,200, activo ,2026-03-23
C000264,Z001,300,ACTIVO,2024-09-26
C000265,Z001,200, activo ,2026-02-18
C000266,Z001,100,ACTIVO,2024-06-17
C000267,Z001,300, activo ,2025-04-25
C000268,Z001,200,ACTIVO,2026-06-17
C000269,Z001,100,ACTIVO,2024-06-17
C000270,Z001,300,ACTIVO,2026-06-16
C000271,Z001,200, activo ,2024-07-16
C000272,Z001,100,ACTIVO,2025-03-23
C000273,Z001,100,ACTIVO,2025-05-14
C000274,Z001,200,Activo,2024-01-16
C000275,Z001,200,ACTIVO,2026-03-09
C000276,Z001,300,ACTIVO,2026-05-13
C000277,Z001,200, activo ,2024-12-13
C000278,Z001,200, activo ,2024-07-30
C000279,Z001,200,Activo,2024-07-13
C000280,Z001,300,ACTIVO,2025-06-15
C000281,Z001,200,ACTIVO,2024-06-08
C000282,Z001,500,ACTIVO,2024-05-19
C000283,Z001,300, activo ,2025-06-10
C000284,Z001,200,ACTIVO,2025-12-06
C000285,Z001,600,Activo,2024-08-18
C000286,Z001,500, activo ,2026-01-03
C000287,Z001,100,ACTIVO,2024-10-14
C000288,Z001,300,SUSPENDIDO,2024-04-01
C000289,Z001,200,ACTIVO,2024-05-05
C000290,Z001,600,ACTIVO,2024-02-02
C000291,Z001,100,ACTIVO,2025-05-29
C000292,Z001,200,ACTIVO,2024-02-28
C000293,Z001,200,ACTIVO,2026-02-05
C000294,Z001,200,ACTIVO,2024-04-10
C000295,Z001,300,ACTIVO,2026-05-29
C000296,Z001,200,ACTIVO,2024-09-28
C000297,Z001,100,ACTIVO,2025-01-08
C000298,Z001,100,ACTIVO,2026-02-15
C000299,Z001,200,ACTIVO,2025-01-04
C000300,Z001,300, activo ,2025-01-23
C000301,Z001,200,ACTIVO,2025-06-21
C000302,Z001,200,Activo,2024-08-06
C000303,Z001,100,ACTIVO,2024-08-10
C000304,Z001,100,ACTIVO,2026-04-17
C000305,Z001,300,ACTIVO,2025-06-27
C000306,Z001,100, activo ,2024-02-12
C000307,Z001,100,ACTIVO,2026-01-04
C000308,Z001,100,Activo,2024-01-29
C000309,Z001,200,ACTIVO,2024-07-26
C000310,Z001,500,ACTIVO,2025-06-15
C000311,Z001,500,Activo,2025-02-16
C000312,Z001,300, activo ,2024-05-26
C000313,Z001,200, activo ,2025-05-16
C000314,Z001,300,SUSPENDIDO,2025-02-13
C000315,Z001,200, activo ,2024-05-13
C000316,Z001,500,Activo,2024-10-13
C000317,Z001,100,ACTIVO,2025-07-26
C000318,Z001,100,ACTIVO,2024-10-12
C000319,Z001,200,ACTIVO,2025-09-23
C000320,Z001,300,Activo,2024-05-28
C000321,Z001,300,ACTIVO,2024-04-21
C000322,Z001,300,ACTIVO,2026-03-12
C000323,Z001,100,Activo,2024-02-24
C000324,Z001,200,SUSPENDIDO,2024-06-04
C000325,Z001,100,ACTIVO,2025-05-13
C000326,Z001,300,ACTIVO,2026-06-12
C000327,Z001 ,500, activo ,2025-01-08
C000328,Z001,300,ACTIVO,2025-04-27
C000329,Z001,100,ACTIVO,2024-04-28
C000330,Z001,300, activo ,2024-09-22
C000331,Z001,100,ACTIVO,2024-05-20
C000332,Z001,500,ACTIVO,2024-07-27
C000333,Z001,300,ACTIVO,2025-04-17
C000334,Z001,300,Activo,2024-12-22
C000335,Z001,300,Activo,2025-10-07
C000336,Z001,200,ACTIVO,2026-06-04
C000337,Z001,100, activo ,2024-11-18
C000338,Z001,200,ACTIVO,2025-04-13
C000339,Z001,500,ACTIVO,2024-05-24
C000340,Z001,100,SUSPENDIDO,2025-09-06
C000341,Z001,100,ACTIVO,2026-04-07
C000342,Z001,500,ACTIVO,2026-02-12
C000343,Z001,200,Activo,2025-08-02
C000344,Z001,200,ACTIVO,2026-03-01
C000345,Z001,300,Activo,2025-04-25
C000346,Z001,300,ACTIVO,2025-12-05
C000347,Z001,500, activo ,2026-02-14
C000348,Z001,100,ACTIVO,2025-12-19
C000349,Z001,300,ACTIVO,2024-07-08
C000350,Z001,200,Activo,2026-05-31
C000351,Z001,500,ACTIVO,2025-07-17
C000352,Z001,300,ACTIVO,2024-10-14
C000353,Z001,200,Activo,2025-06-02
C000354,Z001,200,ACTIVO,2026-04-21
C000355,Z001,200,ACTIVO,2025-11-23
C000356,Z001,100,Activo,2024-04-27
C000357,Z001,200,SUSPENDIDO,2025-10-16
C000358,Z001,100,Activo,2024-08-07
C000359,Z001,500,ACTIVO,2025-03-06
C000360,Z001,100,ACTIVO,2024-06-30
C000361,Z001,200,ACTIVO,2024-04-25
C000362,Z001,200,SUSPENDIDO,2024-02-10
C000363,Z001,300,ACTIVO,2026-03-06
C000364,Z001,200,ACTIVO,2024-04-09
C000365,Z001,300, activo ,2025-11-26
C000366,Z001,600,SUSPENDIDO,2026-03-22
C000367,Z001,600,ACTIVO,2025-01-04
C000368,Z001,200,ACTIVO,2024-05-04
C000369,Z001,100, activo ,2025-10-30
C000370,Z001,300,ACTIVO,2025-07-09
C000371,Z001,200,ACTIVO,2024-04-06
C000372,Z001,300,Activo,2026-02-05
C000373,Z001,200,ACTIVO,2026-01-21
C000374,Z001,300,Activo,2024-12-30
C000375,Z001,100, activo ,2025-01-02
C000376,Z001,500,ACTIVO,2024-04-18
C000377,Z001,200, activo ,2025-07-09
C000378,Z001,200,ACTIVO,2024-06-10
C000379,Z001,200,Activo,2024-04-30
C000380,Z001,500,ACTIVO,2026-02-05
C000381,Z001,200,ACTIVO,2024-10-26
C000382,Z001,100, activo ,2024-08-08
C000383,Z001,500,Activo,2024-10-22
C000384,Z001,200,ACTIVO,2025-04-10
C000385,Z001,200,ACTIVO,2024-11-21
C000386,Z001,100,SUSPENDIDO,2024-04-28
C000387,Z001,200,SUSPENDIDO,2024-05-12
C000388,Z001,300,ACTIVO,2024-05-27
C000389,Z001,200,ACTIVO,2024-12-08
C000390,Z001,500,ACTIVO,2024-04-17
C000391,Z001,300,ACTIVO,2026-05-23
C000392,Z001,200,ACTIVO,2024-12-26
C000393,Z001,600, activo ,2026-01-05
C000394,Z001,200,ACTIVO,2025-10-29
C000395,Z001,500,ACTIVO,2025-05-18
C000396,Z001,200, activo ,2024-02-15
C000397,Z001,300,Activo,2025-07-27
C000398,Z001,100, activo ,2025-12-15
C000399,Z001,200,Activo,2025-11-09
C000400,Z001,600,ACTIVO,2024-01-03
C000401,Z001,100,ACTIVO,2025-12-19
C000402,Z001,100,Activo,2024-04-26
C000403,Z001,200, activo ,2025-08-05
C000404,Z001,300,ACTIVO,2024-10-14
C000405,Z001,300,ACTIVO,2024-03-06
C000406,Z001,600,ACTIVO,2025-03-01
C000407,Z001,100,Activo,2026-06-06
C000408,Z001,100,ACTIVO,2026-01-31
C000409,Z001,500,Activo,2024-09-06
C000410,Z001,200,Activo,2026-06-11
C000411,Z001,200, activo ,2025-10-05
C000412,Z001,300,ACTIVO,2024-11-25
C000413,Z001,300,Activo,2025-06-14
C000414,Z001,500,ACTIVO,2025-04-03
C000415,Z001,300,ACTIVO,2025-09-18
C000416,Z001,200,ACTIVO,2025-01-02
C000417,Z001,100,Activo,2024-04-28
C000418,Z001,300,ACTIVO,2025-08-12
C000419,Z001,200,ACTIVO,2024-05-26
C000420,Z001,500,ACTIVO,2025-12-01
C000421,Z001,300,ACTIVO,2026-02-23
C000422,Z001,100,ACTIVO,2024-09-04
C000423,Z001,300, activo ,2025-10-29
C000424,Z001,300,Activo,2024-07-01
C000425,Z001,600,Activo,2025-11-01
C000426,Z001,300,ACTIVO,2024-08-17
C000427,Z001,600,ACTIVO,2025-01-31
C000428,Z001,100,ACTIVO,2025-09-08
C000429,Z001,500,Activo,2024-11-22
C000430,Z001,500, activo ,2025-02-03
C000431,Z001,200,ACTIVO,2025-09-26
C000432,Z001,300,ACTIVO,2025-03-16
C000433,Z001,200, activo ,2026-05-09
C000434,Z001,500,SUSPENDIDO,2026-04-11
C000435,Z001,300,Activo,2024-07-28
C000436,Z001,200,ACTIVO,2025-11-17
C000437,Z001,200,Activo,2025-07-24
C000438,Z001,200,ACTIVO,2024-09-17
C000439,Z001,200,ACTIVO,2025-08-14
C000440,Z001,500,ACTIVO,2026-01-04
C000441,Z001,100,ACTIVO,2025-02-13
C000442,Z001,500,ACTIVO,2025-12-18
C000443,Z001,300,ACTIVO,2024-04-13
C000444,Z001,600,ACTIVO,2024-12-17
C000445,Z001,100,ACTIVO,2024-12-26
C000446,Z001,500,SUSPENDIDO,2025-07-11
C000447,Z001,100,ACTIVO,2025-06-13
C000448,Z001,200, activo ,2025-12-12
C000449,Z001,300,ACTIVO,2025-10-01
C000450,Z001,100,ACTIVO,2026-01-19
C000451,Z001,300,ACTIVO,2024-09-22
C000452,Z001,300,SUSPENDIDO,2025-09-09
C000453,Z001,600,ACTIVO,2024-04-05
C000454,Z001,300,SUSPENDIDO,2024-03-26
C000455,Z001,200,ACTIVO,2024-06-09
C000456,Z001,100,Activo,2025-01-17
C000457,Z001,200, activo ,2025-09-05
C000458,Z001,500,ACTIVO,2026-01-18
C000459,Z001,200,Activo,2025-10-05
C000460,Z001,200, activo ,2025-12-22
C000461,Z001,100, activo ,2026-04-04
C000462,Z001,100,ACTIVO,2024-03-27
C000463,Z001,100,ACTIVO,2024-07-23
C000464,Z001,200,Activo,2024-01-01
C000465,Z001,100,Activo,2025-11-03
C000466,Z001,100,ACTIVO,2026-01-10
C000467,Z001,500, activo ,2025-05-12
C000468,Z001,500,ACTIVO,2025-04-30
C000469,Z001,200,Activo,2025-06-12
C000470,Z001,300,ACTIVO,2024-08-19
C000471,Z001,300,ACTIVO,2024-10-05
C000472,Z001,100,ACTIVO,2024-11-27
C000473,Z001,300,ACTIVO,2025-11-14
C000474,Z001,100,ACTIVO,2024-03-18
C000475,Z001,500,ACTIVO,2025-09-21
C000476,Z001,100,Activo,2026-06-10
C000477,Z001,200,ACTIVO,2024-06-14
C000478,Z001,600, activo ,2026-02-26
C000479,Z001,100,ACTIVO,2025-03-01
C000480,Z001,200,Activo,2025-08-13
C000481,Z001,300,ACTIVO,2024-12-11
C000482,Z001,300,ACTIVO,2026-01-15
C000483,Z001,100,Activo,2024-11-30
C000484,Z001,200,ACTIVO,2025-03-13
C000485,Z001,300, activo ,2024-11-09
C000486,Z001,200,ACTIVO,2025-05-20
C000487,Z001,200,ACTIVO,2025-02-09
C000488,Z001,300,ACTIVO,2025-05-22
C000489,Z001,100,ACTIVO,2025-06-22
C000490,Z001,300,ACTIVO,2026-03-16
C000491,Z001,500,ACTIVO,2026-01-17
C000492,Z001,500,ACTIVO,2025-03-04
C000493,Z001,100,ACTIVO,2025-02-21
C000494,Z001,300,ACTIVO,2024-06-24
C000495,Z001,100,ACTIVO,2024-04-04
C000496,Z001,100,ACTIVO,2025-01-15
C000497,Z001,500,ACTIVO,2024-11-05
C000498,Z001,100,ACTIVO,2024-11-20
C000499,Z001,200,Activo,2025-01-11
C000500,Z001,500, activo ,2024-07-03
C000501,Z001,100,ACTIVO,2024-02-15
C000502,Z001,300,ACTIVO,2024-04-13
C000503,Z001,500,Activo,2024-04-03
C000504,Z001,200,SUSPENDIDO,2026-01-07
C000505,Z001,100,ACTIVO,2024-02-26
C000506,Z001,500,ACTIVO,2024-10-18
C000507,Z001,500,ACTIVO,2025-12-22
C000508,Z001,200,ACTIVO,2026-05-30
C000509,Z001,600,ACTIVO,2025-12-25
C000510,Z001 ,300,ACTIVO,2024-12-23
C000511,Z001,200,ACTIVO,2026-06-02
C000512,Z001,500,ACTIVO,2024-04-02
C000513,Z001,200,ACTIVO,2025-01-30
C000514,Z001,300, activo ,2025-01-23
C000515,Z001,500,ACTIVO,2025-11-26
C000516,Z001,200,ACTIVO,2024-10-23
C000517,Z001,200,Activo,2024-11-11
C000518,Z001,200,ACTIVO,2025-05-13
C000519,Z001,200,ACTIVO,2024-10-02
C000520,Z001,300,ACTIVO,2024-05-29
C000521,Z001,100,ACTIVO,2025-11-13
C000522,Z001,200, activo ,2025-11-10
C000523,Z001,500,ACTIVO,2024-04-04
C000524,Z001,100, activo ,2025-08-25
C000525,Z001,200, activo ,2026-04-09
C000526,Z001,100,ACTIVO,2025-06-05
C000527,Z001,300,ACTIVO,2024-03-15
C000528,Z001,300, activo ,2024-01-24
C000529,Z001,200,ACTIVO,2025-02-10
C000530,Z001,300,ACTIVO,2024-01-05
C000531,Z001,500,ACTIVO,2026-02-04
C000532,Z001,200,ACTIVO,2025-05-23
C000533,Z001,300,ACTIVO,2024-07-12
C000534,Z001,600,SUSPENDIDO,2025-04-27
C000535,Z001,500,ACTIVO,2026-04-17
C000536,Z001,500,ACTIVO,2025-06-18
C000537,Z001,100, activo ,2025-03-30
C000538,Z001,300,SUSPENDIDO,2025-03-09
C000539,Z001,300,ACTIVO,2026-04-21
C000540,Z001,200,ACTIVO,2024-11-28
C000541,Z001,500, activo ,2024-03-03
C000542,Z001,200, activo ,2024-09-12
C000543,Z001,100,ACTIVO,2025-03-31
C000544,Z001,300,ACTIVO,2025-02-21
C000545,Z001,300,ACTIVO,2025-12-12
C000546,Z001,100,ACTIVO,2025-07-10
C000547,Z001,200,ACTIVO,2025-02-06
C000548,Z001,100,ACTIVO,2024-05-05
C000549,Z001,100, activo ,2024-06-27
C000550,Z001,500,SUSPENDIDO,2024-12-30
C000551,Z001,100,Activo,2026-06-10
C000552,Z001,300,ACTIVO,2026-02-23
C000553,Z001,200,ACTIVO,2024-07-03
C000554,Z001,600,SUSPENDIDO,2025-04-26
C000555,Z001,100,Activo,2025-05-05
C000556,Z001,500,ACTIVO,2024-09-28
C000557,Z001,500, activo ,2026-03-31
C000558,Z001,100, activo ,2024-04-15
C000559,Z001,100,ACTIVO,2024-03-03
C000560,Z001,300,ACTIVO,2026-04-04
C000561,Z001,200,ACTIVO,2024-06-03
C000562,Z001,200,ACTIVO,2026-05-21
C000563,Z001,200,SUSPENDIDO,2024-06-28
C000564,Z001,500,Activo,2024-03-25
C000565,Z001,500,SUSPENDIDO,2025-07-11
C000566,Z001,500,ACTIVO,2026-01-27
C000567,Z001 ,500,ACTIVO,2024-12-15
C000568,Z001,500,SUSPENDIDO,2025-05-04
C000569,Z001,300,ACTIVO,2025-02-14
C000570,Z001,200,ACTIVO,2025-02-14
C000571,Z001,200,ACTIVO,2025-10-13
C000572,Z001,300,ACTIVO,2024-03-10
C000573,Z001,500,Activo,2024-03-19
C000574,Z001,100,ACTIVO,2024-02-01
C000575,Z001,600,ACTIVO,2024-12-11
C000576,Z001,500,SUSPENDIDO,2025-04-09
C000577,Z001,100,ACTIVO,2024-11-15
C000578,Z001,100,ACTIVO,2024-05-18
C000579,Z001,300, activo ,2024-08-22
C000580,Z001,300,ACTIVO,2025-04-28
C000581,Z001,500,Activo,2025-08-09
C000582,Z001,500,ACTIVO,2026-02-16
C000583,Z001,100,ACTIVO,2025-01-01
C000584,Z001,500,ACTIVO,2025-01-29
C000585,Z001,300,ACTIVO,2025-01-15
C000586,Z001,200,Activo,2024-06-13
C000587,Z001,300,ACTIVO,2025-12-28
C000588,Z001,300,ACTIVO,2024-07-24
C000589,Z001,500,ACTIVO,2026-01-09
C000590,Z001,200,ACTIVO,2024-04-06
C000591,Z001,200,ACTIVO,2024-09-06
C000592,Z001,200,ACTIVO,2026-06-14
C000593,Z001,200,ACTIVO,2025-10-22
C000594,Z001,100,Activo,2025-06-17
C000595,Z001,100,SUSPENDIDO,2024-01-16
C000596,Z001,500,ACTIVO,2025-02-26
C000597,Z001,100, activo ,2025-10-09
C000598,Z001,300,ACTIVO,2025-08-06
C000599,Z001,300, activo ,2025-11-24
C000600,Z001,200,Activo,2025-07-21
