id_producto,nombre_producto,categoria,precio_lista,costo
P035,PeruPC TABLET Neo 035,TABLET,997.0,693.14
P036,TechNova TABLET Plus 036,TABLET,1126.0,780.07
P037,MaxDigital TABLET Air 037,TABLET,345.0,240.63
P038,AndinaTech MONITOR Neo 038,MONITOR,963.0,666.13
P039,PeruPC ACCESORIO Pro 039,ACCESORIO,62.0,35.61
P040,PeruPC AUDIO Basic 040,AUDIO,718.0,395.11
P041,AndinaTech MONITOR Pro 041, monitor,549.0,392.32
P042,AndinaTech CELULAR Ultra 042,CELULAR,1375.0,932.82
P043,TechNova CELULAR Pro 043, celular,2292.0,1553.35
P044,PeruPC CELULAR Max 044,CELULAR,1397.0,929.44
P045,TechNova CELULAR Max 045,CELULAR,977.0,700.96
P046,MaxDigital TABLET Pro 046,TABLET,1054.0,642.89
P047,MaxDigital ACCESORIO Basic 047,ACCESORIO,147.0,105.58
P048,MaxDigital LAPTOP Lite 048,LAPTOP,4488.0,2708.42
P049,MaxDigital ACCESORIO Lite 049,ACCESORIO,179.0,108.58
P050,MaxDigital AUDIO Plus 050,AUDIO,643.0,457.26
P051,TechNova TABLET Basic 051,TABLET,837.0,584.77
P052,PeruPC LAPTOP Plus 052,LAPTOP,4491.0,2769.46
P053,MaxDigital LAPTOP Neo 053,LAPTOP,2027.0,1311.98
P054,PeruPC AUDIO Max 054,AUDIO,689.0,433.56
P055,TechNova AUDIO Air 055,AUDIO,272.0,169.46
P056,TechNova TABLET Basic 056,TABLET,1091.0,752.24
P057,AndinaTech MONITOR Air 057,MONITOR,1052.0,674.27
P058,AndinaTech LAPTOP Air 058,LAPTOP,3652.0,2127.63
P059,MaxDigital MONITOR Air 059,,568.0,384.87
P060,TechNova ACCESORIO Lite 060,ACCESORIO,41.0,28.93
P061,PeruPC CELULAR Ultra 061,CELULAR,2874.0,1772.7
P062,MaxDigital LAPTOP Basic 062,LAPTOP,2944.0,1746.3
P063,TechNova MONITOR Lite 063,MONITOR,907.0,581.8
P064,TechNova LAPTOP Pro 064,LAPTOP,2515.0,1759.98
P065,MaxDigital TABLET Ultra 065,TABLET,935.0,604.34
P066,AndinaTech ACCESORIO Air 066,ACCESORIO,232.0,157.87
P067,AndinaTech TABLET Neo 067,TABLET,,332.5
P068,TechNova LAPTOP Max 068,LAPTOP,2980.0,1813.42
P069,AndinaTech LAPTOP Lite 069,LAPTOP,2297.0,1615.66
P070,PeruPC LAPTOP Air 070,LAPTOP,2590.0,1659.76
P071,TechNova AUDIO Basic 071,AUDIO,524.0,328.89
P072,PeruPC TABLET Pro 072,TABLET,968.0,554.03
P073,MaxDigital MONITOR Max 073,MONITOR,597.0,369.13
P074,TechNova AUDIO Pro 074,AUDIO,697.0,424.24
P075,TechNova CELULAR Neo 075,CELULAR,1078.0,732.78
P076,TechNova CELULAR Pro 076,CELULAR,1863.0,1156.17
P077,TechNova CELULAR Max 077,CELULAR,2600.0,1743.14
P078,TechNova ACCESORIO Air 078,ACCESORIO,69.0,45.52
P079,PeruPC AUDIO Plus 079,AUDIO,617.0,374.7
P080,PeruPC ACCESORIO Basic 080,ACCESORIO,55.0,37.99
P081,PeruPC AUDIO Neo 081,AUDIO,115.0,74.22
P082,AndinaTech ACCESORIO Plus 082,ACCESORIO,109.0,63.3
P083,MaxDigital MONITOR Neo 083,MONITOR,577.0,336.31
P084,MaxDigital TABLET Plus 084,TABLET,940.0,657.82
P085,TechNova AUDIO Lite 085,AUDIO,592.0,415.5
P086,AndinaTech TABLET Basic 086,TABLET,408.0,248.48
P087,AndinaTech LAPTOP Pro 087,LAPTOP,3327.0,2136.53
P088,TechNova ACCESORIO Neo 088,ACCESORIO,39.0,21.84
P089,MaxDigital MONITOR Basic 089,MONITOR,574.0,391.4
P090,AndinaTech MONITOR Ultra 090,MONITOR,859.0,555.91
P091,AndinaTech TABLET Plus 091,TABLET,394.0,270.97
P092,AndinaTech AUDIO Neo 092,AUDIO,323.0,212.71
P093,TechNova ACCESORIO Neo 093,ACCESORIO,222.0,136.72
P094,MaxDigital LAPTOP Pro 094,LAPTOP,1870.0,1143.16
P095,AndinaTech AUDIO Ultra 095,AUDIO,708.0,486.17
P096,AndinaTech CELULAR Basic 096, celular,2246.0,1281.93
P097,AndinaTech AUDIO Air 097,AUDIO,86.0,54.15
P098,TechNova ACCESORIO Neo 098,ACCESORIO,92.0,57.95
P099,TechNova LAPTOP Plus 099,LAPTOP,1869.0,1183.97
P100,PeruPC CELULAR Lite 100,CELULAR,926.0,546.03
P101,MaxDigital MONITOR Pro 101,MONITOR,1175.0,774.65
P102,TechNova MONITOR Plus 102,MONITOR,916.0,625.0
P103,TechNova CELULAR Lite 103, celular,1355.0,873.87
P104,TechNova CELULAR Ultra 104,CELULAR,970.0,689.06
P105,TechNova AUDIO Basic 105,AUDIO,838.0,534.13
P106,AndinaTech LAPTOP Pro 106,LAPTOP,2547.0,1648.94
P107,TechNova ACCESORIO Basic 107,ACCESORIO,101.0,66.19
P108,MaxDigital TABLET Basic 108,TABLET,1016.0,577.83
P109,PeruPC TABLET Basic 109,TABLET,860.0,517.68
P110,MaxDigital TABLET Lite 110,TABLET,1192.0,729.35
P111,TechNova LAPTOP Max 111,LAPTOP,1921.0,1324.48
P112,MaxDigital MONITOR Lite 112,MONITOR,635.0,371.4
P113,TechNova CELULAR Neo 113,CELULAR,2590.0,1510.79
P114,TechNova AUDIO Lite 114,AUDIO,899.0,617.72
P115,TechNova ACCESORIO Max 115,ACCESORIO,102.0,57.38
P116,TechNova AUDIO Lite 116,AUDIO,589.0,365.9
P117,TechNova TABLET Ultra 117,TABLET,1155.0,720.1
P118,TechNova MONITOR Lite 118,MONITOR,733.0,522.41
P119,PeruPC ACCESORIO Plus 119,ACCESORIO,35.0,19.39
P120,PeruPC TABLET Max 120,TABLET,490.0,341.63
P121,PeruPC LAPTOP Neo 121,LAPTOP,,2813.5
P122,MaxDigital ACCESORIO Air 122,ACCESORIO,48.0,34.1
P123,AndinaTech TABLET Lite 123,TABLET,462.0,284.66
P124,MaxDigital CELULAR Neo 124,CELULAR,1364.0,771.79
P125,PeruPC TABLET Ultra 125,TABLET,1011.0,562.74
P126,AndinaTech ACCESORIO Basic 126,ACCESORIO,106.0,66.83
P127,MaxDigital TABLET Plus 127,TABLET,548.0,317.26
P128,PeruPC LAPTOP Plus 128,LAPTOP,3499.0,2131.99
P129,AndinaTech LAPTOP Air 129,LAPTOP,,1129.4
P130,MaxDigital TABLET Basic 130,TABLET,661.0,398.17
P131,MaxDigital CELULAR Pro 131,CELULAR,528.0,317.86
P132,TechNova TABLET Neo 132,TABLET,760.0,469.69
P133,TechNova TABLET Basic 133,TABLET,676.0,415.39
P134,PeruPC LAPTOP Air 134,LAPTOP,1920.0,1314.13
P135,TechNova AUDIO Neo 135,AUDIO,561.0,391.95
P136,AndinaTech TABLET Plus 136,,630.0,443.96
P137,PeruPC ACCESORIO Basic 137,ACCESORIO,64.0,43.3
P138,AndinaTech TABLET Neo 138,TABLET,621.0,394.6
P139,AndinaTech CELULAR Neo 139,CELULAR,1331.0,804.98
P140,TechNova CELULAR Air 140,CELULAR,880.0,498.42
P141,TechNova CELULAR Air 141,CELULAR,3345.0,2112.7
P142,PeruPC AUDIO Ultra 142,AUDIO,568.0,329.64
P143,PeruPC LAPTOP Plus 143,LAPTOP,3714.0,2131.58
P144,AndinaTech CELULAR Max 144,CELULAR,586.0,390.56
P145,MaxDigital LAPTOP Max 145,LAPTOP,3414.0,2179.5
P146,PeruPC LAPTOP Air 146,LAPTOP,3029.0,1944.27
P147,AndinaTech MONITOR Pro 147,MONITOR,935.0,610.72
P148,TechNova AUDIO Max 148,AUDIO,838.0,586.88
P149,AndinaTech CELULAR Plus 149,CELULAR,3286.0,1848.95
P150,AndinaTech ACCESORIO Plus 150,ACCESORIO,70.0,46.04
P151,AndinaTech CELULAR Lite 151,CELULAR,3036.0,2045.18
P152,MaxDigital ACCESORIO Basic 152,ACCESORIO,91.0,59.64
P153,PeruPC LAPTOP Pro 153,LAPTOP,3514.0,2248.33
P154,TechNova MONITOR Ultra 154,MONITOR,825.0,574.26
P155,MaxDigital AUDIO Max 155,AUDIO,302.0,178.53
P156,AndinaTech MONITOR Ultra 156,MONITOR,1027.0,674.37
P157,TechNova TABLET Ultra 157, tablet,564.0,369.06
P158,MaxDigital CELULAR Air 158,CELULAR,2082.0,1414.64
P159,PeruPC TABLET Max 159,TABLET,463.0,314.31
P160,TechNova LAPTOP Plus 160,LAPTOP,1820.0,1239.62
P161,AndinaTech LAPTOP Ultra 161,LAPTOP,3627.0,2086.53
P162,MaxDigital CELULAR Air 162,CELULAR,3217.0,2172.35
P163,TechNova LAPTOP Pro 163,LAPTOP,3569.0,2355.6
P164,PeruPC TABLET Neo 164,TABLET,797.0,518.38
P165,TechNova ACCESORIO Neo 165,ACCESORIO,56.0,31.58
P166,PeruPC ACCESORIO Plus 166,ACCESORIO,218.0,126.77
P167,TechNova CELULAR Plus 167,CELULAR,2160.0,1432.32
P168,PeruPC MONITOR Basic 168,MONITOR,1091.0,778.92
P169,PeruPC AUDIO Lite 169,AUDIO,292.0,200.47
P170,TechNova ACCESORIO Pro 170,ACCESORIO,85.0,48.8
P171,MaxDigital MONITOR Pro 171,MONITOR,533.0,333.67
P172,TechNova ACCESORIO Lite 172,ACCESORIO,128.0,91.1
P173,MaxDigital CELULAR Basic 173,CELULAR,675.0,409.69
P174,MaxDigital LAPTOP Pro 174,LAPTOP,1920.0,1059.9
P175,TechNova LAPTOP Air 175,LAPTOP,2127.0,1199.61
P176,AndinaTech LAPTOP Plus 176,LAPTOP,2815.0,1731.27
P177,TechNova TABLET Air 177,TABLET,1042.0,586.28
P178,TechNova MONITOR Max 178,MONITOR,959.0,659.9
P179,AndinaTech TABLET Pro 179,TABLET,930.0,573.7
P180,PeruPC ACCESORIO Ultra 180,ACCESORIO,173.0,107.31
P181,TechNova MONITOR Plus 181,MONITOR,770.0,507.1
P182,MaxDigital CELULAR Lite 182,CELULAR,645.0,426.07
P183,PeruPC LAPTOP Basic 183,LAPTOP,3371.0,2320.07
P184,TechNova TABLET Lite 184,TABLET,616.0,421.7
P185,TechNova LAPTOP Basic 185,LAPTOP,4342.0,3016.89
P186,TechNova MONITOR Plus 186,MONITOR,557.0,308.26
P187,TechNova MONITOR Max 187,MONITOR,835.0,550.25
P188,MaxDigital LAPTOP Pro 188,LAPTOP,2425.0,1679.24
P189,MaxDigital CELULAR Neo 189,CELULAR,2245.0,1481.27
P190,PeruPC CELULAR Max 190,CELULAR,3419.0,2023.97
P191,PeruPC AUDIO Air 191,AUDIO,601.0,425.35
P192,TechNova CELULAR Basic 192,CELULAR,2605.0,1519.6
P193,MaxDigital TABLET Plus 193,TABLET,824.0,514.09
P194,MaxDigital TABLET Lite 194,TABLET,,637.02
P195,TechNova ACCESORIO Basic 195,ACCESORIO,238.0,160.51
P196,PeruPC AUDIO Air 196, audio,393.0,265.28
P197,TechNova TABLET Plus 197,TABLET,1139.0,746.97
P198,PeruPC LAPTOP Air 198,LAPTOP,1925.0,1187.42
P199,MaxDigital AUDIO Max 199,AUDIO,490.0,323.0
P200,AndinaTech LAPTOP Air 200,LAPTOP,2320.0,1306.12
P201,MaxDigital AUDIO Pro 201, audio,324.0,188.78
P202,AndinaTech CELULAR Max 202,CELULAR,1200.0,827.48
P203,AndinaTech MONITOR Neo 203,MONITOR,677.0,438.3
P204,PeruPC LAPTOP Ultra 204,LAPTOP,1814.0,1094.69
P205,AndinaTech AUDIO Pro 205, audio,421.0,271.41
P206,PeruPC ACCESORIO Lite 206,ACCESORIO,131.0,89.43
P207,TechNova LAPTOP Lite 207,LAPTOP,3703.0,2473.25
P208,MaxDigital CELULAR Basic 208,,3255.0,1972.9
P209,TechNova ACCESORIO Plus 209,ACCESORIO,228.0,139.57
P210,MaxDigital AUDIO Ultra 210,AUDIO,378.0,220.8
P211,TechNova TABLET Max 211,TABLET,457.0,264.86
P212,MaxDigital CELULAR Lite 212,CELULAR,2688.0,1844.4
P213,AndinaTech ACCESORIO Max 213,ACCESORIO,138.0,84.75
P214,TechNova AUDIO Plus 214,AUDIO,212.0,121.45
P215,AndinaTech CELULAR Neo 215,CELULAR,715.0,402.04
P216,MaxDigital MONITOR Air 216,MONITOR,1007.0,604.18
P217,TechNova LAPTOP Lite 217,LAPTOP,1981.0,1395.17
P218,MaxDigital ACCESORIO Air 218,ACCESORIO,117.0,71.24
P219,PeruPC TABLET Neo 219,TABLET,734.0,451.67
P220,MaxDigital ACCESORIO Pro 220,ACCESORIO,241.0,154.64
P221,TechNova LAPTOP Basic 221,LAPTOP,1861.0,1221.19
P222,PeruPC MONITOR Basic 222,MONITOR,692.0,465.07
P223,TechNova TABLET Basic 223,TABLET,574.0,376.35
P224,AndinaTech CELULAR Lite 224,CELULAR,3368.0,1971.78
P225,MaxDigital LAPTOP Lite 225,LAPTOP,3895.0,2590.84
P226,TechNova AUDIO Air 226,AUDIO,224.0,138.74
P227,PeruPC AUDIO Lite 227,AUDIO,890.0,551.07
P228,MaxDigital CELULAR Pro 228,CELULAR,2880.0,1762.76
P229,PeruPC LAPTOP Plus 229,LAPTOP,2946.0,1828.66
P230,MaxDigital CELULAR Pro 230,CELULAR,2594.0,1465.33
P231,TechNova MONITOR Max 231,MONITOR,1006.0,663.19
P232,TechNova MONITOR Ultra 232,MONITOR,753.0,487.06
P233,PeruPC TABLET Max 233,TABLET,628.0,434.52
P234,TechNova LAPTOP Ultra 234,LAPTOP,3047.0,1846.82
P235,AndinaTech TABLET Lite 235,TABLET,741.0,455.41
P236,PeruPC MONITOR Neo 236,MONITOR,840.0,530.58
P237,PeruPC CELULAR Plus 237,,2904.0,1762.85
P238,PeruPC CELULAR Neo 238,CELULAR,1842.0,1059.34
P239,TechNova AUDIO Basic 239,AUDIO,605.0,412.42
P240,TechNova LAPTOP Air 240,LAPTOP,3967.0,2432.01
P241,MaxDigital AUDIO Air 241,AUDIO,872.0,507.07
P242,TechNova ACCESORIO Plus 242,ACCESORIO,157.0,94.12
P243,TechNova AUDIO Basic 243,AUDIO,630.0,421.87
P244,TechNova TABLET Air 244,TABLET,589.0,420.56
P245,PeruPC AUDIO Air 245,AUDIO,379.0,244.83
P246,PeruPC AUDIO Neo 246,AUDIO,481.0,331.36
P247,PeruPC ACCESORIO Plus 247, accesorio,126.0,77.73
P248,TechNova TABLET Lite 248,TABLET,600.0,354.54
P249,TechNova ACCESORIO Pro 249,ACCESORIO,218.0,124.55
P250,PeruPC AUDIO Ultra 250,AUDIO,172.0,100.13
P251,PeruPC LAPTOP Pro 251, laptop,3550.0,2492.72
P252,PeruPC TABLET Basic 252,TABLET,909.0,591.78
P253,AndinaTech TABLET Basic 253,TABLET,520.0,365.67
P254,TechNova AUDIO Max 254,AUDIO,542.0,377.58
P255,MaxDigital LAPTOP Air 255,LAPTOP,2380.0,1553.43
P256,PeruPC TABLET Max 256,TABLET,1049.0,661.69
P257,PeruPC CELULAR Pro 257,CELULAR,1369.0,899.74
P258,MaxDigital LAPTOP Plus 258,,,1989.58
P259,AndinaTech CELULAR Basic 259,CELULAR,764.0,453.37
P260,MaxDigital AUDIO Plus 260,AUDIO,292.0,201.63
P261,MaxDigital CELULAR Pro 261,CELULAR,1995.0,1328.94
P262,PeruPC AUDIO Air 262,AUDIO,719.0,491.06
P263,MaxDigital TABLET Basic 263,TABLET,1173.0,745.1
P264,PeruPC ACCESORIO Max 264, accesorio,131.0,79.39
P265,AndinaTech TABLET Basic 265,TABLET,1199.0,682.91
P266,PeruPC ACCESORIO Neo 266,ACCESORIO,175.0,122.77
P267,PeruPC TABLET Lite 267,TABLET,1020.0,604.2
P268,AndinaTech CELULAR Pro 268,CELULAR,1554.0,1034.5
P269,MaxDigital MONITOR Pro 269,MONITOR,577.0,327.82
P270,PeruPC AUDIO Ultra 270,AUDIO,175.0,107.36
P271,PeruPC CELULAR Lite 271,CELULAR,1614.0,893.73
P272,AndinaTech AUDIO Neo 272,AUDIO,822.0,584.71
P273,MaxDigital AUDIO Pro 273,AUDIO,728.0,497.27
P274,MaxDigital LAPTOP Plus 274,LAPTOP,2266.0,1456.24
P275,PeruPC CELULAR Neo 275,CELULAR,1383.0,903.93
P276,TechNova ACCESORIO Plus 276,ACCESORIO,119.0,83.84
P277,AndinaTech CELULAR Ultra 277,CELULAR,837.0,480.21
P278,TechNova AUDIO Basic 278,AUDIO,167.0,94.09
P279,TechNova AUDIO Basic 279,AUDIO,206.0,114.22
P280,TechNova TABLET Lite 280,TABLET,410.0,274.35
P281,AndinaTech ACCESORIO Air 281,ACCESORIO,201.0,140.93
P282,AndinaTech AUDIO Neo 282,AUDIO,739.0,464.7
P283,PeruPC ACCESORIO Max 283, accesorio,152.0,91.35
P284,PeruPC TABLET Ultra 284,TABLET,682.0,434.34
P285,PeruPC LAPTOP Air 285,LAPTOP,1867.0,1148.24
P286,PeruPC MONITOR Lite 286,MONITOR,772.0,486.5
P287,MaxDigital MONITOR Plus 287,,1120.0,617.06
P288,PeruPC CELULAR Max 288,CELULAR,3437.0,1932.61
P289,TechNova AUDIO Pro 289,,430.0,303.96
P290,AndinaTech LAPTOP Plus 290,LAPTOP,2489.0,1444.37
P291,MaxDigital AUDIO Pro 291,AUDIO,219.0,142.53
P292,TechNova LAPTOP Basic 292,LAPTOP,3108.0,1863.84
P293,MaxDigital ACCESORIO Basic 293,ACCESORIO,41.0,24.94
P294,PeruPC LAPTOP Plus 294,LAPTOP,3749.0,2224.64
P295,MaxDigital ACCESORIO Ultra 295,ACCESORIO,164.0,112.57
P296,PeruPC MONITOR Lite 296,MONITOR,1012.0,576.84
P297,AndinaTech ACCESORIO Max 297,ACCESORIO,184.0,131.01
P298,TechNova MONITOR Basic 298,MONITOR,977.0,614.27
P299,AndinaTech AUDIO Lite 299,AUDIO,279.0,174.25
P300,AndinaTech MONITOR Pro 300,MONITOR,,344.57
P255,MaxDigital LAPTOP Air 255,LAPTOP,2380.0,1553.43
P058,AndinaTech LAPTOP Air 058,LAPTOP,3652.0,2127.63
