id_venta,fecha,id_cliente,id_producto,sucursal,cantidad,precio_unitario,metodo_pago
V0124,2024-06-27,C0174,P108,TRUJILLO,3.0,2486.0,EFECTIVO
V0125,2024-03-01,C0103,P088,TRUJILLO,2.0,2005.0,TARJETA
V0126,16/02/2024,C0226,P189,LIMA,5.0,1049.0,EFECTIVO
V0127,2024-06-16,C0271,P293,CUSCO,5.0,2983.0,EFECTIVO
V0128,2024-01-01,C0218,P029,AREQUIPA,2.0,106.0,EFECTIVO
V0129,2024-01-22,C0027,P147, trujillo,5.0,2930.0,EFECTIVO
V0130,2024-02-20,C0023,P179,AREQUIPA,10.0,2640.0,TRANSFERENCIA
V0131,2024-05-16,C0291,P082, lima,4.0,392.0,TRANSFERENCIA
V0132,2024-05-14,C0201,P297, trujillo,4.0,1086.0,EFECTIVO
V0133,2024-03-28,C0251,P215,LIMA,5.0,123.0,EFECTIVO
V0134,2024-05-04,C0204,P285,LIMA,6.0,,EFECTIVO
V0135,2024-06-10,C0269,P147,CUSCO,8.0,137.0,TARJETA
V0136,2024-06-09,C0106,P266,CUSCO,6.0,480.0,TRANSFERENCIA
V0137,2024-01-11,C0068,P001,CUSCO,5.0,2063.0,EFECTIVO
V0138,2024-04-03,C0230,P268,LIMA,6.0,107.0,TARJETA
V0139,2024-03-24,C0212,P283,CUSCO,3.0,2827.0,TRANSFERENCIA
V0140,2024-05-10,C0286,P213,LIMA,4.0,1512.0,TARJETA
V0141,2024-01-22,C0276,P140,TRUJILLO,1.0,1301.0,EFECTIVO
V0142,2024-05-26,C0055,P269,TRUJILLO,6.0,835.0,TARJETA
V0143,2024-01-20,C0164,P084,LIMA,1.0,1269.0,EFECTIVO
V0144,2024-01-05,C0267,P258,TRUJILLO,2.0,2216.0,EFECTIVO
V0145,2024-02-02,C9999,P286,AREQUIPA,3.0,467.0,TRANSFERENCIA
V0146,2024-02-18,C0174,P235,TRUJILLO,2.0,86.0,EFECTIVO
V0147,2024-05-21,C0258,P066,TRUJILLO,4.0,2769.0,TARJETA
V0148,2024-05-18,C0110,P199,TRUJILLO,10.0,76.0,EFECTIVO
V0149,2024-02-12,C0206,P005,CUSCO,9.0,1883.0,TARJETA
V0150,2024-05-11,C0221,P184,TRUJILLO,,2961.0,TARJETA
V0151,2024-05-07,C0184,P248,CUSCO,74.0,2523.0,TARJETA
V0152,2024-01-03,C0114,P082,LIMA,5.0,1272.0,TRANSFERENCIA
V0153,26/04/2024,C0240,P110,AREQUIPA,5.0,696.0,EFECTIVO
V0154,2024-01-08,C0166,P128,AREQUIPA,1.0,2474.0,TRANSFERENCIA
V0155,2024-05-07,C0248,P109,TRUJILLO,4.0,119.0,TRANSFERENCIA
V0156,2024-03-10,C0302,P207,CUSCO,10.0,2576.0,EFECTIVO
V0157,2024-02-06,C0115,P074,AREQUIPA,4.0,2048.0,EFECTIVO
V0158,2024-04-22,C0069,P232,TRUJILLO,6.0,764.0,EFECTIVO
V0159,2024-05-19,C0317,P262,CUSCO,7.0,1861.0,EFECTIVO
V0160,2024-04-04,C0173,P294,TRUJILLO,8.0,671.0,tarjeta
V0161,2024-06-03,C0289,P044,TRUJILLO,4.0,2142.0,EFECTIVO
V0162,2024-04-22,C0039,P094,CUSCO,3.0,1641.0,EFECTIVO
V0163,28/02/2024,C0066,P186,AREQUIPA,2.0,1825.0,TRANSFERENCIA
V0164,2024-05-29,C0124,P157,TRUJILLO,7.0,2566.0,TARJETA
V0165,2024-02-12,C0072,P074,TRUJILLO,1.0,293.0,TRANSFERENCIA
V0166,2024-02-28,C0004,P018,AREQUIPA,7.0,2875.0,TRANSFERENCIA
V0167,2024-05-07,C0282,P288,AREQUIPA,10.0,2304.0,EFECTIVO
V0168,2024-06-29,C0316,P003,CUSCO,10.0,2612.0,TARJETA
V0169,2024-02-23,C0177,P149, cusco,10.0,721.0,EFECTIVO
V0170,2024-03-21,C0205,P198, trujillo,5.0,2024.0,EFECTIVO
V0171,2024-06-30,C0224,P064,TRUJILLO,1.0,1569.0,EFECTIVO
V0172,2024-06-13,C0079,P233,LIMA,4.0,2870.0,EFECTIVO
V0173,2024-03-04,C0030,P255,CUSCO,1.0,493.0,EFECTIVO
V0174,2024-06-24,C0085,P185,TRUJILLO,6.0,963.0,TRANSFERENCIA
V0175,2024-04-12,C0038,P214,LIMA,1.0,2356.0,TRANSFERENCIA
V0176,2024-01-23,C0277,P054,TRUJILLO,2.0,1215.0,EFECTIVO
V0177,2024-02-08,C0059,P196,TRUJILLO,4.0,2515.0,EFECTIVO
V0178,2024-01-04,C0166,P188,CUSCO,5.0,439.0,TARJETA
V0179,2024-04-13,C0170,P094, arequipa,5.0,1459.0,TRANSFERENCIA
V0180,2024-03-02,C0118,P004,TRUJILLO,6.0,1645.0,TARJETA
V0181,2024-01-25,C0288,P277,AREQUIPA,5.0,1805.0,TARJETA
V0182,2024-03-15,C0125,P206,LIMA,3.0,438.0,TARJETA
V0183,2024-04-02,C0001,P072,AREQUIPA,1.0,2748.0,TRANSFERENCIA
V0184,2024-06-21,C0053,P013,AREQUIPA,61.0,1562.0,EFECTIVO
V0185,2024-06-16,C0293,P117,LIMA,1.0,1021.0,TARJETA
V0186,2024-01-30,C0102,P105, cusco,3.0,1107.0,TARJETA
V0187,2024-04-29,C0080,P037,LIMA,8.0,168.0,TARJETA
V0188,2024-03-16,C0141,P105,AREQUIPA,9.0,2062.0,TRANSFERENCIA
V0189,2024-02-18,C0070,P136,TRUJILLO,7.0,1093.0,TRANSFERENCIA
V0190,2024-06-22,C0249,P201,TRUJILLO,7.0,2554.0,transferencia
V0191,2024-01-01,C0158,P133,CUSCO,2.0,1652.0,TARJETA
V0192,2024-05-24,C0193,P018,LIMA,1.0,2814.0,TARJETA
V0193,2024-04-10,C0054,P203,TRUJILLO,6.0,2770.0,
V0194,2024-05-24,C0051,P061,CUSCO,-2.0,566.0,TRANSFERENCIA
V0195,2024-03-31,C0017,P270,LIMA,9.0,663.0,TARJETA
V0196,2024-01-06,C0210,P226,AREQUIPA,2.0,2357.0,TARJETA
V0197,2024-02-08,C0242,P194,CUSCO,6.0,452.0,EFECTIVO
V0198,2024-03-19,C0051,P253,AREQUIPA,1.0,2709.0,TARJETA
V0199,2024-01-07,C0316,P183,TRUJILLO,10.0,301.0,EFECTIVO
V0200,2024-03-09,C0034,P191,CUSCO,6.0,2313.0,TARJETA
V0201,2024-01-07,C0309,P091,CUSCO,2.0,2556.0,TARJETA
V0202,2024-01-20,C0270,P025,TRUJILLO,10.0,1501.0,EFECTIVO
V0203,2024-03-12,C0075,P169,LIMA,6.0,,EFECTIVO
V0204,2024-03-05,C0081,P240,CUSCO,4.0,2609.0,EFECTIVO
V0205,2024-05-30,C0129,P144,TRUJILLO,8.0,186.0,EFECTIVO
V0206,2024-06-08,C0109,P049,LIMA,1.0,1304.0,TARJETA
V0207,2024-03-20,C0301,P111,TRUJILLO,7.0,1193.0,EFECTIVO
V0208,2024-02-17,C0082,P201,AREQUIPA,2.0,1994.0,TARJETA
V0209,2024-01-29,C0115,P166,TRUJILLO,9.0,645.0,TARJETA
V0210,2024-06-07,C0078,P277,CUSCO,2.0,639.0,EFECTIVO
V0211,2024-06-25,C0128,P224,CUSCO,4.0,840.0,TARJETA
V0212,2024-04-21,C0219,P257,AREQUIPA,2.0,2037.0,TRANSFERENCIA
V0213,2024-03-30,C0091,P147,TRUJILLO,5.0,409.0,TARJETA
V0214,2024-04-05,C0015,P274,TRUJILLO,6.0,1650.0,TRANSFERENCIA
V0215,2024-05-02,C0240,P028,CUSCO,6.0,2666.0,TARJETA
V0216,23/06/2024,C0245,P006,LIMA,5.0,2170.0,TRANSFERENCIA
V0217,2024-05-11,C0246,P300,TRUJILLO,8.0,303.0,TARJETA
V0218,2024-06-02,C0089,P213,TRUJILLO,7.0,85.0,TARJETA
V0219,2024-03-06,C0035,P206,CUSCO,3.0,1970.0,TARJETA
V0220,2024-04-22,C0025,P137,CUSCO,7.0,232.0,TRANSFERENCIA
V0221,2024-05-01,C0121,P277,CUSCO,9.0,1425.0,EFECTIVO
V0222,2024-01-17,C0066,P157,CUSCO,,,TRANSFERENCIA
V0223,2024-02-08,C0018,P216,CUSCO,5.0,1297.0,EFECTIVO
V0224,2024-03-13,C0208,P193,CUSCO,4.0,1335.0,TARJETA
V0225,2024-05-23,C0182,P149,LIMA,4.0,1983.0,TRANSFERENCIA
V0226,2024-04-17,C0277,P261,AREQUIPA,8.0,926.0,EFECTIVO
V0227,2024-03-26,C0159,P065,CUSCO,,2393.0,EFECTIVO
V0228,2024-04-22,C0262,P184,CUSCO,3.0,817.0,EFECTIVO
V0229,2024-05-14,C0294,P117,LIMA,3.0,1554.0,efectivo
V0230,2024-01-20,C0227,P293,LIMA,8.0,1839.0,
V0231,2024-05-20,C0078,P140,AREQUIPA,3.0,2027.0,TARJETA
V0232,2024-06-20,C0314,P161,TRUJILLO,9.0,2540.0,EFECTIVO
V0233,2024-04-30,C0215,P023,AREQUIPA,3.0,2903.0,TARJETA
V0234,2024-02-23,C0033,P137,TRUJILLO,1.0,2625.0,
V0235,2024-04-14,C0234,P271,CUSCO,7.0,55.0,TARJETA
V0236,2024-01-22,,P274,AREQUIPA,9.0,2129.0,EFECTIVO
V0237,2024-02-16,C0151,P234,TRUJILLO,8.0,2641.0,EFECTIVO
V0238,2024-06-30,C0309,P249,CUSCO,10.0,1163.0,EFECTIVO
V0239,2024-05-05,C0060,P261,CUSCO,3.0,,TARJETA
V0240,2024-06-01,C0254,P031,TRUJILLO,2.0,1433.0,EFECTIVO
V0241,2024-03-03,C0089,P024,TRUJILLO,6.0,523.0,EFECTIVO
V0242,2024-04-13,C0164,P285,TRUJILLO,9.0,521.0,TARJETA
V0243,2024-04-12,C0175,P024,TRUJILLO,6.0,2306.0,EFECTIVO
V0244,19/05/2024,C0151,P251, lima,4.0,409.0,EFECTIVO
V0245,2024-02-28,C0017,P191,TRUJILLO,5.0,1504.0,EFECTIVO
V0246,2024-02-12,C0289,P070,CUSCO,7.0,682.0,EFECTIVO
V0247,2024-03-14,C0166,,CUSCO,9.0,94.0,TARJETA
V0248,2024-05-06,C0055,P273,CUSCO,5.0,967.0,TARJETA
V0249,2024-03-06,C0134,P129,TRUJILLO,10.0,2824.0,transferencia
V0250,2024-04-29,C0289,P220,AREQUIPA,-5.0,2841.0,EFECTIVO
V0251,2024-03-19,C0302,P002,LIMA,1.0,324.0,TRANSFERENCIA
V0252,2024-01-08,C0018,P203,TRUJILLO,6.0,1399.0,TARJETA
V0253,2024-04-13,C0202,P021,CUSCO,1.0,2224.0,EFECTIVO
V0254,2024-01-01,C0009,P005,LIMA,6.0,1628.0,TARJETA
V0255,2024-03-29,C0290,P097,CUSCO,9.0,1856.0,TARJETA
V0256,2024-03-13,C0076,P207,LIMA,7.0,1207.0,EFECTIVO
V0257,2024-04-05,C0130,P272,CUSCO,10.0,2602.0,EFECTIVO
V0258,2024-03-10,C0166,P197,TRUJILLO,2.0,2295.0,TRANSFERENCIA
V0259,2024-02-14,C0281,P137,TRUJILLO,7.0,1530.0,EFECTIVO
V0260,2024-06-27,C0095,P179,TRUJILLO,5.0,1935.0,EFECTIVO
V0261,2024-02-25,C0216,P065,LIMA,6.0,1846.0,EFECTIVO
V0262,2024-05-07,C0298,P246,LIMA,5.0,1037.0,TARJETA
V0263,19/02/2024,C0131,P267,LIMA,9.0,2362.0,TARJETA
V0264,2024-03-01,C0276,P105,TRUJILLO,1.0,432.0,EFECTIVO
V0265,2024-06-09,C0126,P210,AREQUIPA,10.0,1639.0,EFECTIVO
V0266,2024-02-23,C0248,P025,TRUJILLO,10.0,1045.0,EFECTIVO
V0267,2024-03-04,C0151,P049,AREQUIPA,4.0,2303.0,TARJETA
V0268,2024-05-06,C0055,P012,TRUJILLO,10.0,742.0,TRANSFERENCIA
V0269,2024-05-25,C0060,P182,CUSCO,6.0,981.0,TRANSFERENCIA
V0270,2024-05-24,C0298,P285,LIMA,9.0,1733.0,EFECTIVO
V0271,2024-02-11,C0152,P096,AREQUIPA,7.0,2492.0,TARJETA
V0272,18/03/2024,C0234,P010,CUSCO,9.0,1834.0,TARJETA
V0273,2024-02-26,C0096,P222,LIMA,10.0,597.0,TRANSFERENCIA
V0274,2024-04-24,C0209,P262,CUSCO,7.0,1354.0,EFECTIVO
V0275,2024-01-16,C9999,P224,LIMA,10.0,2330.0,TARJETA
V0276,2024-05-07,C0178,P205, arequipa,2.0,1661.0,EFECTIVO
V0277,2024-02-22,C0300,P002, arequipa,10.0,2951.0,EFECTIVO
V0278,2024-05-01,C0189,P014,CUSCO,4.0,1942.0,efectivo
V0279,2024-03-19,C0051,P273,TRUJILLO,5.0,1145.0,TARJETA
V0280,2024-04-19,C0064,P203,AREQUIPA,7.0,1463.0,TARJETA
V0281,2024-02-10,C0075,P282,TRUJILLO,7.0,2219.0,EFECTIVO
V0282,2024-06-29,C0285,P103,TRUJILLO,1.0,2682.0,TARJETA
V0283,2024-01-14,C9999,P123,TRUJILLO,7.0,428.0,EFECTIVO
V0284,2024-03-23,C0229,P169,LIMA,9.0,2848.0,EFECTIVO
V0285,2024-01-27,C0207,P213,CUSCO,8.0,1086.0,EFECTIVO
V0286,2024-05-09,C0024,P096,TRUJILLO,9.0,73.0,EFECTIVO
V0287,2024-06-10,C0191,P036,TRUJILLO,5.0,1949.0,EFECTIVO
V0288,2024-04-01,C0148,P149,CUSCO,6.0,1342.0,EFECTIVO
V0289,2024-05-19,C0233,P282,TRUJILLO,4.0,657.0,TRANSFERENCIA
V0290,2024-02-26,C0145,P078,LIMA,,1479.0,TARJETA
V0291,2024-01-01,C0250,P092,TRUJILLO,9.0,1633.0,EFECTIVO
V0292,2024-06-18,C0319,P238,TRUJILLO,1.0,320.0,TARJETA
V0293,2024-05-03,C0292,P076,LIMA,5.0,1965.0,EFECTIVO
V0294,2024-03-11,C0299,P045,AREQUIPA,9.0,417.0,EFECTIVO
V0295,2024-06-02,C0254,P011,TRUJILLO,4.0,2998.0,TARJETA
V0296,25/04/2024,C0274,P126,TRUJILLO,7.0,1499.0,EFECTIVO
V0297,2024-05-05,C0211,P014,LIMA,10.0,2282.0,TARJETA
V0298,2024-02-09,C0049,P023,LIMA,2.0,2398.0,TARJETA
V0299,2024-01-10,C0068,P281, trujillo,6.0,782.0,TRANSFERENCIA
V0300,2024-02-27,C0031,P188,AREQUIPA,10.0,2492.0,EFECTIVO
V0301,2024-03-14,C0151,P074,TRUJILLO,2.0,1852.0,TRANSFERENCIA
V0302,2024-01-24,C0049,P095,CUSCO,3.0,98.0,EFECTIVO
V0303,2024-04-21,C0167,P160,CUSCO,10.0,2715.0,EFECTIVO
V0304,2024-01-11,,P288,TRUJILLO,10.0,1186.0,EFECTIVO
V0305,2024-06-29,C0028,P113,TRUJILLO,,2120.0,TARJETA
V0306,2024-04-05,C0080,P130,CUSCO,7.0,2349.0,TARJETA
V0307,2024-04-07,C0034,P293,TRUJILLO,4.0,2964.0,TARJETA
V0308,2024-05-03,C9999,P122,AREQUIPA,9.0,1491.0,EFECTIVO
V0309,2024-03-06,C0213,P186,CUSCO,9.0,2776.0,TRANSFERENCIA
V0310,2024-02-20,C0175,P079,TRUJILLO,3.0,587.0,EFECTIVO
V0311,2024-06-22,C0098,P283,CUSCO,9.0,2604.0,
V0312,2024-01-28,C0049,P286,LIMA,8.0,1950.0,TARJETA
V0313,2024-04-28,C0245,P012,LIMA,6.0,1667.0,efectivo
V0314,2024-05-07,C0137,P146,LIMA,8.0,2115.0,TRANSFERENCIA
V0315,2024-01-29,C0293,P232,CUSCO,7.0,2665.0,TARJETA
V0316,2024-03-25,C0185,P107,AREQUIPA,3.0,,EFECTIVO
V0317,2024-05-26,C0289,P204,CUSCO,6.0,876.0,TARJETA
V0318,2024-01-26,C0319,P227,TRUJILLO,1.0,708.0,TRANSFERENCIA
V0319,18/02/2024,C0027,P131,CUSCO,3.0,1140.0,TARJETA
V0320,2024-03-26,,P118,TRUJILLO,7.0,2408.0,TRANSFERENCIA
V0321,2024-06-01,C0091,P057,LIMA,5.0,2997.0,EFECTIVO
V0322,2024-02-22,C0283,P249,TRUJILLO,3.0,123.0,EFECTIVO
V0323,2024-01-29,C0306,P222,CUSCO,10.0,688.0,EFECTIVO
V0324,2024-03-07,C0081,P144,CUSCO,9.0,1922.0,TARJETA
V0325,2024-03-11,C0212,P216,TRUJILLO,10.0,589.0,EFECTIVO
V0326,2024-01-30,C0008,P083,TRUJILLO,9.0,610.0,
V0327,2024-06-30,C0239,P072,TRUJILLO,9.0,1989.0,EFECTIVO
V0328,2024-03-20,C0257,P171,CUSCO,10.0,1265.0,EFECTIVO
V0329,2024-01-26,C0030,P092,AREQUIPA,3.0,1333.0,TARJETA
V0330,2024-06-30,C0209,P119,TRUJILLO,3.0,283.0,TARJETA
V0331,2024-02-11,C0196,P135,AREQUIPA,1.0,82.0,TRANSFERENCIA
V0332,2024-01-26,C0286,P202,CUSCO,6.0,495.0,TARJETA
V0333,2024-05-27,C0277,P086,AREQUIPA,2.0,252.0,TRANSFERENCIA
V0334,2024-02-23,,P258,AREQUIPA,1.0,1063.0,EFECTIVO
V0335,2024-04-26,C0031,P101,CUSCO,1.0,2177.0,EFECTIVO
V0336,2024-01-27,C0157,P240,CUSCO,9.0,822.0,TARJETA
V0337,2024-02-01,C0006,P071,LIMA,5.0,1752.0,EFECTIVO
V0338,2024-05-18,C0312,P030,CUSCO,2.0,2815.0,TRANSFERENCIA
V0339,2024-06-03,C0298,P019,TRUJILLO,-2.0,496.0,EFECTIVO
V0340,2024-04-12,C0317,P141,AREQUIPA,5.0,2886.0,EFECTIVO
V0341,2024-04-18,C0134,P182,TRUJILLO,3.0,2000.0,TARJETA
